lon;lat;species;cells;BO_calcite;BO_salinity;BO_ph;BO_sstmean;BO_sstrange;BO2_chlomean_bdmax;sp
-99.870605;16.846758;Ophiothela mirabilis;997442;0.000877;34.22999954;8.236000061;30.02599907;6.126999855;0.318814635;1
-96.371869;15.670936;Ophiothela mirabilis;1047884;0.000301;34.27199936;8.218999863;28.79199982;6.329999924;0.318384886;1
-96.499242;15.657019;Ophiothela mirabilis;1051483;0.000328;34.26300049;8.220000267;29.05599976;3.730999947;0.004361335;1
-99.901944;16.735278;Ophiothela mirabilis;1004642;0.000753;34.21500015;8.234999657;29.44799995;3.829999924;0.004360985;1
-105.893389;21.855083;Ophiothela mirabilis;781370;0.00032;34.36700058;8.277000427;27.70100021;7.422999859;0.361366361;1
-87.075;5.525;Ophiothela mirabilis;1487196;9.40E-05;32.35599899;8.116000175;28.04100037;2.944000006;0.004361697;1
-103.463611;18.3125;Ophiothela mirabilis;936199;0.000588;34.28699875;8.251000404;28.56699944;4.994999886;0.004361335;1
-96.560083;-0.049367;Ophiothela mirabilis;1728282;0.000168;34.5719986;8.204999924;23.68099976;5.71600008;0.004361333;1
-98.776944;16.278056;Ophiothela mirabilis;1022655;0.000406;34.23899841;8.229999542;29.75699997;3.096999884;0.004360996;1
-105.583611;20.684722;Ophiothela mirabilis;831773;0.000483;34.2179985;8.269000053;27.36800003;6.907999992;0.004708217;1
-110.458333;24.591667;Ophiothela mirabilis;662515;0.000236;34.6590004;8.272999763;25.08499908;9.661999702;0.005057394;1
-110.408333;24.591667;Ophiothela mirabilis;662516;0.000205;34.66500092;8.274000168;25.35000038;9.637999535;0.004361313;1
-77.29309;4.0015;Ophiothela mirabilis;1552113;0.007529;30.11000061;7.962999821;29.03899956;1.629999995;0.447006732;1
-106.458333;23.225;Ophiothela mirabilis;723763;0.001423;34.68999863;8.284000397;26.72900009;8.869000435;0.294964224;1
-79.5;8.97;Ophiothela mirabilis;1339687;0.005603;31.11899948;8.022000313;28.83300018;3.510999918;0.059993766;1
125.235389;1.444017;Ophiothela mirabilis;1666143;9.40E-05;34.02099991;8.126999855;29.09799957;2.644000053;0.277850747;1
151.637918;-33.079678;Ophiothela mirabilis;3156860;0.000299;35.45399857;8.317000389;20.7329998;10.40999985;0.494084716;1
100.295575;-1.073948;Ophiothela mirabilis;1773844;0.000529;33.73300171;8.126000404;30.43300056;1.402999997;0.150099397;1
120.90945;13.692782;Ophiothela mirabilis;1136891;0.000156;33.7840004;8.197999954;28.6439991;3.724999905;0.005096298;1
103.837748;1.230814;Ophiothela mirabilis;1676687;0.007905;32.91699982;7.672999859;29.62100029;3.257999897;0.254845679;1
167.395966;-22.746166;Ophiothela mirabilis;2710649;0.002741;35.37200165;8.272000313;24.34600067;4.618999958;0.257417679;1
30.8178;-30.2672;Ophiothela mirabilis;3036610;0.000352;35.41500092;8.234999657;23.57600021;4.997000217;0.251624674;1
120.90129;13.65831;Ophiothela mirabilis;1140491;0.000149;33.78900146;8.199000359;28.52499962;3.621000051;0.004441901;1
40.3915;-22.31538;Ophiothela mirabilis;2691125;7.20E-05;35.16400146;8.222000122;26.7329998;5.228000164;0.004363261;1
40.29169;-22.40263;Ophiothela mirabilis;2694724;9.10E-05;35.16899872;8.222000122;26.67399979;5.160999775;0.004364458;1
-41.877584;-22.740636;Ophiothela mirabilis;2708138;0.0019;35.54700089;8.130999565;23.87299919;4.407000065;0.462553233;1
-41.904272;-22.755966;Ophiothela mirabilis;2711738;0.001979;35.60200119;8.131999969;23.68700027;4.222000122;0.299330086;1
-40.35;-20.666667;Ophiothela mirabilis;2621756;0.002057;36.33200073;8.045000076;24.15099907;3.312000036;0.208895966;1
178.460333;-18.8475;Ophiothela mirabilis;2545182;0.000377;34.90499878;8.270999908;27.21800041;4.228000164;0.007596919;1
